Designator,Mid X,Mid Y,Rotation,Layer
_735,68.77965,-182.80765,0.0,top
_734,239.485675,-318.44365,180.0,top
_733,412.478,-433.451,180.0,top
_732,384.792,-397.94565,180.0,top
_731,43.74235,-341.44835,180.0,top
_730,111.95965,-153.543,0.0,top
_729,158.314675,-410.02835,180.0,top
_728,295.492675,-341.757,180.0,top
_727,209.332325,-189.04835,0.0,top
_726,69.959,-428.498,180.0,top
_725,399.08835,-322.65235,180.0,top
_724,153.706325,-176.784,0.0,top
_723,108.73,-85.16235,0.0,top
_722,99.568,-61.92135,0.0,top
_721,196.160675,-421.07735,180.0,top
_720,36.39465,-176.45765,0.0,top
_719,235.458,-224.917,0.0,top
_718,397.96365,-158.29665,0.0,top
_717,321.836325,-397.94565,180.0,top
_716,21.191,-413.639,180.0,top
_715,34.653,-409.829,180.0,top
_714,147.392675,-406.21835,180.0,top
_713,209.640675,-332.28665,180.0,top
_712,84.146675,-413.639,180.0,top
_711,70.086,-397.637,180.0,top
_710,220.562675,-318.44365,180.0,top
_709,19.83,-89.535,0.0,top
_708,397.909,-74.422,0.0,top
_707,146.213325,-157.988,0.0,top
_706,106.698025,-341.44835,180.0,top
_705,230.396325,-409.9383,180.0,top
_704,272.941325,-416.36065,180.0,top
_703,384.755675,-214.249,180.0,top
_702,48.024,-84.963,0.0,top
_701,209.695325,-416.1613,180.0,top
_700,334.953325,-85.979,0.0,top
_699,297.923975,-153.6523,0.0,top
_698,428.93335,-318.84235,180.0,top
_697,302.749675,-341.884,180.0,top
_696,83.076,-89.73435,0.0,top
_695,297.234325,-85.27165,0.0,top
_694,196.160675,-428.69735,180.0,top
_693,104.158025,-341.44835,180.0,top
_692,416.832,-85.471,0.0,top
_691,335.860675,-220.091,180.0,top
_690,147.338025,-332.3767,180.0,top
_689,271.761975,-165.7173,0.0,top
_688,447.784,-433.07,180.0,top
_687,429.006,-433.578,180.0,top
_686,111.27,-85.16235,0.0,top
_685,132.914675,-416.941,180.0,top
_684,320.529975,-160.3833,0.0,top
_683,446.73165,-173.15565,0.0,top
_682,399.143,-396.367,180.0,top
_681,223.030325,-433.0523,180.0,top
_680,410.01035,-318.84235,180.0,top
_679,446.677,-89.281,0.0,top
_678,97.481675,-432.943,180.0,top
_677,321.654675,-318.135,180.0,top
_676,335.860675,-222.631,180.0,top
_675,133.041675,-397.637,180.0,top
_674,237.526325,-176.85635,0.0,top
_673,174.262,-268.859,0.0,top
_672,272.941325,-403.78765,180.0,top
_671,346.63735,-341.757,180.0,top
_670,314.216325,-410.01065,180.0,top
_669,232.246675,-341.55765,180.0,top
_668,156.246325,-176.784,0.0,top
_667,254.762,-273.177,0.0,top
_666,132.007325,-265.049,0.0,top
_665,383.721325,-81.661,0.0,top
_664,38.91665,-153.21665,0.0,top
_663,384.665,-428.80665,180.0,top
_662,447.85635,-329.89135,180.0,top
_661,68.725,-68.58,0.0,top
_660,363.655325,-62.357,0.0,top
_659,165.081675,-85.16235,0.0,top
_658,131.971,-91.51235,0.0,top
_657,247.250675,-85.3617,0.0,top
_656,70.086,-405.257,180.0,top
_655,53.52135,-318.33435,180.0,top
_654,321.8,-214.249,180.0,top
_653,399.08835,-304.87235,180.0,top
_652,132.02565,-162.814,0.0,top
_651,258.535675,-306.25165,180.0,top
_650,212.598,-224.917,0.0,top
_649,228.327675,-85.3617,0.0,top
_648,272.905,-220.091,180.0,top
_647,69.832,-432.562,180.0,top
_646,196.233025,-313.9617,180.0,top
_645,179.795675,-433.26935,180.0,top
_644,309.680325,-62.15765,0.0,top
_643,160.673025,-341.6477,180.0,top
_642,272.941325,-426.52065,180.0,top
_641,335.84235,-332.486,180.0,top
_640,279.254975,-176.8933,0.0,top
_639,433.215,-85.471,0.0,top
_638,335.897,-403.78765,180.0,top
_637,384.73735,-306.451,180.0,top
_636,320.475325,-79.04865,0.0,top
_635,21.191,-395.859,180.0,top
_634,258.172675,-61.3587,0.0,top
_633,419.209,-433.451,180.0,top
_632,195.979025,-348.8867,180.0,top
_631,355.963,-433.25165,180.0,top
_630,349.17735,-341.757,180.0,top
_629,194.981325,-183.007,0.0,top
_628,446.677,-99.441,0.0,top
_627,172.375325,-153.543,0.0,top
_626,446.73165,-183.31565,0.0,top
_625,447.98335,-306.65035,180.0,top
_624,321.654675,-337.312,180.0,top
_623,227.838,-224.917,0.0,top
_622,68.725,-60.96,0.0,top
_621,194.926675,-61.15935,0.0,top
_620,359.101675,-226.441,180.0,top
_619,69.90435,-329.38335,180.0,top
_618,132.007325,-262.636,0.0,top
_617,83.203,-78.05035,0.0,top
_616,346.692,-433.25165,180.0,top
_615,32.05835,-318.33435,180.0,top
_614,258.281675,-341.17665,180.0,top
_613,405.45665,-177.09265,0.0,top
_612,446.677,-61.468,0.0,top
_611,146.086325,-181.229,0.0,top
_610,69.77735,-348.68735,180.0,top
_609,172.320675,-62.04835,0.0,top
_608,384.628675,-233.553,180.0,top
_607,196.106025,-337.2027,180.0,top
_606,45.53865,-176.45765,0.0,top
_605,283.736325,-433.25165,180.0,top
_604,223.102675,-318.44365,180.0,top
_603,209.640675,-334.82665,180.0,top
_602,286.24,-249.555,180.0,top
_601,132.860025,-325.44635,180.0,top
_600,146.031675,-89.73435,0.0,top
_599,295.511,-249.555,180.0,top
_598,242.098325,-433.1793,180.0,top
_597,281.794975,-176.8933,0.0,top
_596,113.991675,-409.829,180.0,top
_595,295.547325,-433.25165,180.0,top
_594,132.02565,-172.847,0.0,top
_593,69.90435,-325.44635,180.0,top
_592,179.777675,-410.02835,180.0,top
_591,321.673,-245.11,180.0,top
_590,36.37665,-153.21665,0.0,top
_589,302.804325,-433.37865,180.0,top
_588,109.365,-62.04835,0.0,top
_587,397.83665,-189.15765,0.0,top
_586,320.529975,-172.9563,0.0,top
_585,84.146675,-416.052,180.0,top
_584,412.42335,-341.95635,180.0,top
_583,272.886675,-312.293,180.0,top
_582,321.8,-221.869,180.0,top
_581,68.77965,-172.64765,0.0,top
_580,372.980975,-153.85165,0.0,top
_579,397.96365,-177.47365,0.0,top
_578,209.640675,-342.44665,180.0,top
_577,271.761975,-158.0973,0.0,top
_576,271.761975,-169.6543,0.0,top
_575,258.227325,-163.01335,0.0,top
_574,235.566675,-62.2477,0.0,top
_573,236.982,-273.177,0.0,top
_572,97.427025,-341.44835,180.0,top
_571,99.604325,-245.618,0.0,top
_570,99.62265,-153.416,0.0,top
_569,194.963,-244.856,0.0,top
_568,346.76435,-318.643,180.0,top
_567,84.146675,-433.832,180.0,top
_566,271.580325,-89.84365,0.0,top
_565,399.143,-406.527,180.0,top
_564,194.981325,-172.847,0.0,top
_563,320.475325,-68.88865,0.0,top
_562,272.886675,-342.646,180.0,top
_561,132.733025,-341.06735,180.0,top
_560,321.546,-256.794,180.0,top
_559,68.77965,-170.23465,0.0,top
_558,158.187675,-433.14235,180.0,top
_557,272.886675,-324.866,180.0,top
_556,156.191675,-85.28935,0.0,top
_555,311.676325,-410.01065,180.0,top
_554,258.172675,-79.1387,0.0,top
_553,222.975675,-341.55765,180.0,top
_552,209.640675,-322.25365,180.0,top
_551,448.038,-398.145,180.0,top
_550,194.963,-275.209,0.0,top
_549,399.143,-403.987,180.0,top
_548,165.118325,-153.416,0.0,top
_547,290.630325,-85.27165,0.0,top
_546,419.78935,-318.84235,180.0,top
_545,258.227325,-160.47335,0.0,top
_544,447.784,-440.69,180.0,top
_543,97.608675,-409.829,180.0,top
_542,299.828975,-176.7663,0.0,top
_541,84.146675,-426.212,180.0,top
_540,83.076,-97.35435,0.0,top
_539,374.632,-410.01065,180.0,top
_538,132.860025,-317.82635,180.0,top
